cntry.code,govexpedu
ABW,6.057008346
AFE,4.741493988
AFG,3.387372202
AFW,3.021781898
AGO,2.876984811
ALB,3.403082212
AND,3.064363347
ARB,4.258691996
ARE,3.873619914
ARG,5.312482251
ARM,2.660876083
ASM,
ATG,2.940677245
AUS,5.149261177
AUT,5.449963808
AZE,2.560428911
BDI,5.655786848
BEL,6.481857164
BEN,3.295735216
BFA,4.636460039
BGD,1.827243996
BGR,3.789212525
BHR,2.510229278
BHS,2.471409884
BIH,
BLR,4.931425953
BLZ,7.277843581
BMU,1.454493324
BOL,8.269999981
BRA,6.042991281
BRB,4.915649438
BRN,3.497572422
BTN,6.358597755
BWA,7.576127211
CAF,1.886588812
CAN,5.262050152
CEB,4.47392121
CHE,4.887523651
CHI,
CHL,4.910817078
CHN,3.711696982
CIV,3.474229741
CMR,2.805375767
COD,2.129674298
COG,3.881045606
COL,4.571601009
COM,2.65016799
CPV,5.381496906
CRI,6.744291925
CSS,5.011136066
CUB,
CUW,4.930950165
CYM,
CYP,6.275481621
CZE,4.481677532
DEU,4.897480071
DJI,3.722732484
DMA,4.858181675
DNK,7.732863347
DOM,3.790978034
DZA,6.45411253
EAP,3.675510539
EAR,3.982261128
EAS,3.616142763
ECA,4.054646638
ECS,4.850423127
ECU,4.659255075
EGY,3.519671261
EMU,4.992098808
ERI,
ESP,4.365527511
EST,4.93709749
ETH,5.083842456
EUU,4.847799987
FCS,3.337986216
FIN,6.792704999
FJI,4.582979971
FRA,5.429384947
FRO,7.952691078
FSM,12.0085125
GAB,2.952516651
GBR,5.43818719
GEO,3.18795898
GHA,5.160588712
GIB,
GIN,2.299229014
GMB,2.374980938
GNB,2.278552759
GNQ,
GRC,3.578606685
GRD,3.65498662
GRL,11.16987228
GTM,3.040882993
GUM,
GUY,3.836735759
HIC,4.859308124
HKG,3.566903019
HND,5.88693534
HPC,3.458114672
HRV,4.089812517
HTI,1.628469992
HUN,4.479518712
IBD,4.097296119
IBT,3.836431205
IDA,3.53035202
IDB,4.610480679
IDN,3.204377784
IDX,3.422728837
IMN,
IND,4.158627748
INX,
IRL,4.525666237
IRN,3.368740034
IRQ,4.599999905
ISL,7.437256217
ISR,5.841390014
ITA,4.070893735
JAM,5.71804051
JOR,3.367182255
JPN,3.397727115
KAZ,3.138294458
KEN,4.886239659
KGZ,6.222657733
KHM,2.224297464
KIR,11.64399348
KNA,3.95269208
KOR,4.373139858
KWT,5.186754084
LAC,4.722457123
LAO,2.390138716
LBN,2.189602216
LBR,2.242597961
LBY,
LCA,3.748820019
LCN,4.55734365
LDC,3.183009624
LIC,3.151546049
LIE,2.556040049
LKA,1.878981437
LMC,3.959016747
LMY,3.836344504
LSO,7.898975589
LTE,4.443457246
LTU,4.362125039
LUX,3.727144003
LVA,5.310353696
MAC,3.099530029
MAF,
MAR,5.559761333
MCO,1.386828576
MDA,6.126036978
MDG,2.54138695
MDV,3.599392202
MEA,4.296325997
MEX,4.883868754
MHL,16.22666645
MIC,4.077369452
MKD,
MLI,3.600572872
MLT,6.197872775
MMR,1.897112184
MNA,3.937155634
MNE,
MNG,4.894384437
MNP,
MOZ,6.010285854
MRT,2.072060029
MUS,4.436846995
MWI,4.30434333
MYS,4.907014012
NAC,5.007032108
NAM,9.475662231
NCL,
NER,3.590337157
NGA,
NIC,4.328651428
NLD,5.402403653
NOR,7.520697653
NPL,3.861683989
NRU,5.841108163
NZL,6.523586273
OED,5.037334383
OMN,5.361302495
OSS,4.473686481
PAK,2.547176212
PAN,3.1299977
PER,3.607429004
PHL,3.419683754
PLW,6.680000093
PNG,1.919880033
POL,4.772284985
PRE,3.270777154
PRI,6.276870012
PRK,
PRT,5.006288597
PRY,3.726115976
PSE,4.951235703
PSS,
PST,5.007064998
PYF,
QAT,3.457682882
ROU,3.090973765
RUS,4.07619851
RWA,3.766225945
SAS,3.172118333
SAU,7.643349075
SDN,
SEN,5.198618317
SGP,2.848538017
SLB,10.51338205
SLE,4.460834098
SLV,3.743098895
SMR,3.251947522
SOM,
SRB,3.832450002
SSA,3.615432894
SSD,1.245862007
SSF,3.615432894
SST,4.710887098
STP,5.516141319
SUR,5.565957069
SVK,4.065516293
SVN,5.159691215
SWE,7.420127511
SWZ,5.833975315
SXM,
SYC,3.979754519
SYR,
TCA,3.107843876
TCD,2.461003017
TEA,3.675510539
TEC,4.021017207
TGO,4.289664984
THA,3.774278932
TJK,5.11339862
TKM,3.08494997
TLA,4.530464649
TLS,7.603262484
TMN,3.76889507
TON,7.166270018
TSA,3.172118333
TSS,3.615432894
TTO,4.131907773
TUN,6.816558282
TUR,4.294069767
TUV,
TZA,3.665057312
UGA,2.137012644
UKR,5.733987702
UMC,4.215821445
URY,4.529214978
USA,4.943277597
UZB,5.777904034
VCT,5.719713211
VEN,1.488163312
VGB,3.104988337
VIR,
VNM,4.640567541
VUT,3.867812109
WLD,4.235747125
WSM,4.910250998
XKX,
YEM,
ZAF,5.593307018
ZMB,4.250922251
ZWE,5.596405676