cntry.code,stja
ABW,
AFE,20033.38
AFG,111.72
AFW,9442.47
AGO,30.12
ALB,180.36
AND,3.6
ARB,58771.07
ARE,3144.89
ARG,8811.13
ARM,521.33
ASM,
ATG,5.63
AUS,53610.22
AUT,12362.28
AZE,761.43
BDI,21.12
BEL,15688.13
BEN,227.74
BFA,251.99
BGD,3135.08
BGR,3311.27
BHR,321.51
BHS,19.77
BIH,703.79
BLR,1179.81
BLZ,9.11
BMU,
BOL,102.8
BRA,60147.96
BRB,37.97
BRN,293.91
BTN,52.64
BWA,280.57
CAF,20.47
CAN,59967.79
CEB,89500.84
CHE,21378.56
CHI,
CHL,7121.74
CHN,528263.25
CIV,248.14
CMR,875.62
COD,148.72
COG,66.68
COL,7195.02
COM,3.28
CPV,8.69
CRI,507.41
CSS,567.95
CUB,968.74
CUW,
CYM,
CYP,1245.42
CZE,15576.6
DEU,104396.12
DJI,6.16
DMA,12.6
DNK,13978.8
DOM,49.26
DZA,5231.44
EAP,598886.3175
EAR,357985.92
EAS,866689.4516
ECA,141382.75
ECS,794016.5813
ECU,2142.19
EGY,13326.67
EMU,414171.55
ERI,21.37
ESP,54536.59
EST,1414.72
ETH,1994.44
EUU,524444.25
FCS,30665.09
FIN,10598.94
FJI,139.78
FRA,66352.18
FRO,
FSM,4.37
GAB,63.78
GBR,97680.9
GEO,550.41
GHA,1275.99
GIB,
GIN,27.84
GMB,33.83
GNB,15.01
GNQ,2.6
GRC,10906.99
GRD,46.17
GRL,30
GTM,99.89
GUM,
GUY,13.7
HIC,1450500.224
HKG,
HND,45.1
HPC,8864.7
HRV,4276.9
HTI,29.18
HUN,6700.92
IBD,1134258.574
IBT,1169196.005
IDA,34937.43
IDB,21699.2
IDN,26947.57
IDX,13238.23
IMN,
IND,135787.79
INX,
IRL,7174.11
IRN,48305.64
IRQ,6073.39
ISL,680.89
ISR,12234.69
ITA,71240.28
JAM,163.85
JOR,2627.29
JPN,98792.5
KAZ,2367.46
KEN,1246.76
KGZ,137.06
KHM,145.74
KIR,0.62
KNA,25.53
KOR,66376.17
KWT,1003.84
LAC,98529.13
LAO,86.91
LBN,1776.31
LBR,25.39
LBY,161.9
LCA,3.81
LCN,108229.9467
LDC,10866.69
LIC,5429.31
LIE,30.4
LKA,1347.54
LMC,290061.29
LMY,1111315.39
LSO,18.54
LTE,821700.4876
LTU,2267.3
LUX,869.1
LVA,1417.73
MAC,
MAF,
MAR,5056.77
MCO,45.12
MDA,210.37
MDG,127.41
MDV,7.44
MEA,119302.31
MEX,16345.64
MHL,2.31
MIC,1105887.135
MKD,493.05
MLI,90.37
MLT,422.02
MMR,230.65
MNA,88918.47
MNE,249.51
MNG,140.85
MNP,
MOZ,139.25
MRT,20.32
MUS,126.94
MWI,231.21
MYS,23661.33
NAC,482863.8589
NAM,156.31
NCL,
NER,55.18
NGA,5602.28
NIC,43.67
NLD,30457.33
NOR,11802.78
NPL,792.11
NRU,0
NZL,7888.75
OED,1422770.2
OMN,856.43
OSS,6975.39
PAK,12904.31
PAN,172.88
PER,1629.88
PHL,2237.34
PLW,6.51
PNG,64.12
POL,35662.64
PRE,18167.72
PRI,515.42
PRK,87.42
PRT,14294.56
PRY,97.98
PSE,375.95
PSS,191.0134532
PST,1336519.899
PYF,
QAT,1502.58
ROU,10345.01
RUS,81579.36
RWA,169.52
SAS,154138.63
SAU,10897.88
SDN,397.77
SEN,388.32
SGP,11458.63
SLB,13.2
SLE,40.72
SLV,45.44
SMR,10.81
SOM,9.74
SRB,4523.42
SSA,29466.32
SSD,9.08
SSF,29475.85
SST,7734.431006
STP,0.73
SUR,17.38
SVK,5321.6
SVN,3206.15
SWE,20420.56
SWZ,34.05
SXM,
SYC,9.53
SYR,274.65
TCA,
TCD,15.45
TEA,598783.0846
TEC,191667.3
TGO,86.06
THA,12513.75
TJK,62.4
TKM,3.69
TLA,106588.64
TLS,13.92
TMN,88542.52
TON,4.82
TSA,154138.63
TSS,29475.85
TTO,211.21
TUN,5564.86
TUR,33535.8
TUV,1.48
TZA,602.71
UGA,673.07
UKR,10379.89
UMC,815833.5579
URY,852.23
USA,422807.71
UZB,353.91
VCT,1.22
VEN,639.03
VGB,
VIR,
VNM,4286.48
VUT,6.45
WLD,2554318.672
WSM,11.05
XKX,278.43
YEM,137.44
ZAF,13008.74
ZMB,213.07
ZWE,359.33